"","id","legisNames","party","year","icpsrst","district","incumb","numdvt","numrvt","numovt","statenm","stpost","fipsst","Office","CensusPop","Area","RedistrictedDate","RepCandidate","RepStatus","DemCandidate","DemStatus","ThirdParty","ThirdVotes","ThirdCandidate","ThirdStatus","PluralityVotes","PluralityParty","ThirdVotesTotalPercent","RaceNotes","dpvote","winner","numdvt_js","numrvt_js","numovt_js","handcorrected","y","x"
"CLARK (D MA-5)","MA-5","CLARK (D MA-5)","D",2016,NA,5,1,285606,0,NA,NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72.9,"Katherine Clark",NA,NA,NA,NA,-1.38678563361645,27.1
"MOULTON (D MA-6)","MA-6","MOULTON (D MA-6)","D",2016,NA,6,1,308923,0,NA,NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.5,"Seth Moulton",NA,NA,NA,NA,-0.693850360801016,40.5
"CAPUANO (D MA-7)","MA-7","CAPUANO (D MA-7)","D",2016,NA,7,1,253354,0,NA,NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,87.6,"Mike Capuano",NA,NA,NA,NA,-1.26372644843544,12.4
"LYNCH (D MA-8)","MA-8","LYNCH (D MA-8)","D",2016,NA,8,1,271019,102744,NA,NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.7,"Stephen Lynch",NA,NA,NA,NA,-0.832779140471504,36.3
"KEATING (D MA-9)","MA-9","KEATING (D MA-9)","D",2016,NA,9,1,211790,127803,NA,NA,"MA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.7,"Bill Keating",NA,NA,NA,NA,-0.743940674857917,44.3
"HARRIS (R MD-1)","MD-1","HARRIS (R MD-1)","R",2016,NA,1,-1,103622,242574,NA,NA,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1,"Andy Harris",NA,NA,NA,NA,2.07131324795403,64.9
"RUPPERSBERG (D MD-2)","MD-2","RUPPERSBERG (D MD-2)","D",2016,NA,2,1,192183,102577,NA,NA,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.8,"Dutch Ruppersberger",NA,NA,NA,NA,-0.826198873975057,37.2
"SARBANES (D MD-3)","MD-3","SARBANES (D MD-3)","D",2016,NA,3,1,214640,115048,NA,NA,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.2,"John Sarbanes",NA,NA,NA,NA,-1.27432537778768,33.8
"BROWN (D MD-4)","MD-4","BROWN (D MD-4)","D",2016,NA,4,NA,237501,68670,NA,NA,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.2,"Anthony Brown",NA,NA,NA,NA,-0.936418141628958,19.8
"HOYER (D MD-5)","MD-5","HOYER (D MD-5)","D",2016,NA,5,1,242989,105931,NA,NA,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.1,"Steny Hoyer",NA,NA,NA,NA,-1.18731522654642,33.9
"DELANEY (D MD-6)","MD-6","DELANEY (D MD-6)","D",2016,NA,6,1,185770,133081,NA,NA,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.4,"John Delaney",NA,NA,NA,NA,-0.64639717837122,41.6
"CUMMINGS (D MD-7)","MD-7","CUMMINGS (D MD-7)","D",2016,NA,7,1,238838,69556,NA,NA,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,78.6,"Elijah Cummings",NA,NA,NA,NA,-1.40521539359469,21.4
"RASKIN (D MD-8)","MD-8","RASKIN (D MD-8)","D",2016,NA,8,NA,220657,124651,NA,NA,"MD",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.6,"Jamie Raskin",NA,NA,NA,NA,-1.58659452859444,32.4
"PINGREE (D ME-1)","ME-1","PINGREE (D ME-1)","D",2016,NA,1,1,227546,164569,NA,NA,"ME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.9,"Chellie Pingree",NA,NA,NA,NA,-1.0692025695948,42.1
"POLIQUIN (R ME-2)","ME-2","POLIQUIN (R ME-2)","R",2016,NA,2,-1,159081,192878,NA,NA,"ME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.4,"Bruce Poliquin",NA,NA,NA,NA,0.522326006287717,55.6
"BERGMAN (R MI-1)","MI-1","BERGMAN (R MI-1)","R",2016,NA,1,NA,144334,197777,NA,NA,"MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.7,"Jack Bergman",NA,NA,NA,NA,0.76602410320477,61.3
"MITCHELL (R MI-10)","MI-10","MITCHELL (R MI-10)","R",2016,NA,10,NA,110112,215132,NA,NA,"MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1,"Paul Mitchell",NA,NA,NA,NA,0.625005056667428,66.9
"TROTT (R MI-11)","MI-11","TROTT (R MI-11)","R",2016,NA,11,-1,152461,200872,NA,NA,"MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.7,"Dave Trott",NA,NA,NA,NA,0.865319694659394,52.3
"DINGELL (D MI-12)","MI-12","DINGELL (D MI-12)","D",2016,NA,12,1,211378,96104,NA,NA,"MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.8,"Debbie Dingell",NA,NA,NA,NA,-1.22968979679338,36.2
"CONYERS (D MI-13)","MI-13","CONYERS (D MI-13)","D",2016,NA,13,1,198771,40541,NA,NA,"MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.3,"John Conyers",NA,NA,NA,NA,-1.55963904938271,18.7
"LAWRENCE (D MI-14)","MI-14","LAWRENCE (D MI-14)","D",2016,NA,14,1,244135,58103,NA,NA,"MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,81.2,"Brenda Lawrence",NA,NA,NA,NA,-1.17453568281428,18.8
"HUIZENGA (R MI-2)","MI-2","HUIZENGA (R MI-2)","R",2016,NA,2,-1,110391,212508,NA,NA,"MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.6,"Bill Huizenga",NA,NA,NA,NA,0.920896876430641,59.4
"AMASH (R MI-3)","MI-3","AMASH (R MI-3)","R",2016,NA,3,-1,128400,203545,NA,NA,"MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,"Justin Amash",NA,NA,NA,NA,0.163920137335676,55
"MOOLENAAR (R MI-4)","MI-4","MOOLENAAR (R MI-4)","R",2016,NA,4,-1,101277,194572,NA,NA,"MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.8,"John Moolenaar",NA,NA,NA,NA,0.841375152380017,63.2
"KILDEE (D MI-5)","MI-5","KILDEE (D MI-5)","D",2016,NA,5,1,195279,112102,NA,NA,"MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.2,"Daniel Kildee",NA,NA,NA,NA,-1.0284770277521,47.8
"UPTON (R MI-6)","MI-6","UPTON (R MI-6)","R",2016,NA,6,-1,119980,193246,NA,NA,"MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.5,"Fred Upton",NA,NA,NA,NA,0.463835599670302,54.5
"WALBERG (R MI-7)","MI-7","WALBERG (R MI-7)","R",2016,NA,7,-1,134010,184321,NA,NA,"MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,"Tim Walberg",NA,NA,NA,NA,0.715931261048116,59
"BISHOP (R MI-8)","MI-8","BISHOP (R MI-8)","R",2016,NA,8,-1,143791,205629,NA,NA,"MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.5,"Mike Bishop",NA,NA,NA,NA,0.692172486832318,53.5
"LEVIN (D MI-9)","MI-9","LEVIN (D MI-9)","D",2016,NA,9,1,199661,128937,NA,NA,"MI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.1,"Sander Levin",NA,NA,NA,NA,-1.09709108429133,45.9
"WALZ (D MN-1)","MN-1","WALZ (D MN-1)","D",2016,NA,1,1,169074,166526,NA,NA,"MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.9,"Tim Walz",NA,NA,NA,NA,-0.612339959289009,58.1
"LEWIS (R MN-2)","MN-2","LEWIS (R MN-2)","R",2016,NA,2,NA,167315,173970,NA,NA,"MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.3,"Jason Lewis",NA,NA,NA,NA,0.788698056017489,50.7
"PAULSEN (R MN-3)","MN-3","PAULSEN (R MN-3)","R",2016,NA,3,-1,169243,223077,NA,NA,"MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55.1,"Erik Paulsen",NA,NA,NA,NA,0.638802384155664,44.9
"MCCOLLUM (D MN-4)","MN-4","MCCOLLUM (D MN-4)","D",2016,NA,4,1,203299,121032,NA,NA,"MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.8,"Betty McCollum",NA,NA,NA,NA,-1.04125726144576,33.2
"ELLISON (D MN-5)","MN-5","ELLISON (D MN-5)","D",2016,NA,5,1,249964,80660,NA,NA,"MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79.9,"Keith Ellison",NA,NA,NA,NA,-0.853639722903185,20.1
"EMMER (R MN-6)","MN-6","EMMER (R MN-6)","R",2016,NA,6,-1,123008,235380,NA,NA,"MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,"Tom Emmer",NA,NA,NA,NA,0.556942085775576,64
"PETERSON (D MN-7)","MN-7","PETERSON (D MN-7)","D",2016,NA,7,1,173589,156952,NA,NA,"MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,"Collin Peterson",NA,NA,NA,NA,-0.302127298430263,66.6
"NOLAN (D MN-8)","MN-8","NOLAN (D MN-8)","D",2016,NA,8,1,179098,177089,NA,NA,"MN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41.6,"Rick Nolan",NA,NA,NA,NA,-0.711044346903363,58.4
"CLAY (D MO-1)","MO-1","CLAY (D MO-1)","D",2016,NA,1,1,236993,62714,NA,NA,"MO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.4,"Lacy Clay",NA,NA,NA,NA,-1.18247165741916,19.6
"WAGNER (R MO-2)","MO-2","WAGNER (R MO-2)","R",2016,NA,2,-1,155689,241954,NA,NA,"MO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.6,"Ann Wagner",NA,NA,NA,NA,1.33415803595131,55.4
"LUETKEMEYER (R MO-3)","MO-3","LUETKEMEYER (R MO-3)","R",2016,NA,3,-1,102891,249865,NA,NA,"MO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,"Blaine Luetkemeyer",NA,NA,NA,NA,1.00563307356323,70.5
"HARTZLER (R MO-4)","MO-4","HARTZLER (R MO-4)","R",2016,NA,4,-1,92510,225348,NA,NA,"MO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,"Vicky Hartzler",NA,NA,NA,NA,0.819830545459893,69
"CLEAVER (D MO-5)","MO-5","CLEAVER (D MO-5)","D",2016,NA,5,1,190766,123771,NA,NA,"MO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.1,"Emanuel Cleaver",NA,NA,NA,NA,-1.09563344451299,42.9
"GRAVES (R MO-6)","MO-6","GRAVES (R MO-6)","R",2016,NA,6,-1,99692,238388,NA,NA,"MO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,"Sam Graves",NA,NA,NA,NA,0.71561560546164,66.6
"LONG (R MO-7)","MO-7","LONG (R MO-7)","R",2016,NA,7,-1,92756,228692,NA,NA,"MO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26,"Billy Long",NA,NA,NA,NA,1.1264333610789,74
"SMITH (R MO-8)","MO-8","SMITH (R MO-8)","R",2016,NA,8,-1,70009,229792,NA,NA,"MO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.8,"Jason Smith",NA,NA,NA,NA,0.782258352013108,78.2
"KELLY (R MS-1)","MS-1","KELLY (R MS-1)","R",2016,NA,1,-1,83947,206455,NA,NA,"MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1,"Trent Kelly",NA,NA,NA,NA,1.09950465686969,66.9
"THOMPSON (D MS-2)","MS-2","THOMPSON (D MS-2)","D",2016,NA,2,1,192343,83542,NA,NA,"MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.4,"Bennie Thompson",NA,NA,NA,NA,-1.27177537866917,35.6
"HARPER (R MS-3)","MS-3","HARPER (R MS-3)","R",2016,NA,3,-1,96101,209490,NA,NA,"MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.5,"Gregg Harper",NA,NA,NA,NA,1.05331934185909,62.5
"PALAZZO (R MS-4)","MS-4","PALAZZO (R MS-4)","R",2016,NA,4,-1,77505,181323,NA,NA,"MS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.9,"Steven Palazzo",NA,NA,NA,NA,1.38924315626942,71.1
"ZINKE (R MT-1)","MT-1","ZINKE (R MT-1)","R",2016,NA,1,-1,205919,285358,NA,NA,"MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9,"Ryan Zinke",NA,NA,NA,NA,0.826910427951628,61.1
"GIANFORTE (R MT-1)","MT-1","GIANFORTE (R MT-1)","R",2016,NA,1,-1,205919,285358,NA,NA,"MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.9,"Ryan Zinke",NA,NA,NA,NA,1.06207363179338,61.1
"BUTTERFIELD (D NC-1)","NC-1","BUTTERFIELD (D NC-1)","D",2016,NA,1,1,240661,101567,NA,NA,"NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68.9,"G.K. Butterfield",NA,NA,NA,NA,-0.986240248339772,31.1
"MCHENRY (R NC-10)","NC-10","MCHENRY (R NC-10)","R",2016,NA,10,-1,128919,220825,NA,NA,"NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.4,"Patrick McHenry",NA,NA,NA,NA,0.97022214159192,62.6
"MEADOWS (R NC-11)","NC-11","MEADOWS (R NC-11)","R",2016,NA,11,-1,129103,230405,NA,NA,"NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.9,"Mark Meadows",NA,NA,NA,NA,0.760528241292436,65.1
"ADAMS (D NC-12)","NC-12","ADAMS (D NC-12)","D",2016,NA,12,1,234115,115185,NA,NA,"NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.7,"Alma Adams",NA,NA,NA,NA,-1.21947028675783,29.3
"BUDD (R NC-13)","NC-13","BUDD (R NC-13)","R",2016,NA,13,0,156049,199443,NA,NA,"NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.2,"Ted Budd",NA,NA,NA,NA,1.28097713080233,54.8
"HOLDING (R NC-2)","NC-2","HOLDING (R NC-2)","R",2016,NA,2,-1,169082,221485,NA,NA,"NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45,"George Holding",NA,NA,NA,NA,0.670673361305929,55
"JONES (R NC-3)","NC-3","JONES (R NC-3)","R",2016,NA,3,-1,106170,217531,NA,NA,"NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.9,"Walter Jones",NA,NA,NA,NA,-0.102971254444978,62.1
"PRICE (D NC-4)","NC-4","PRICE (D NC-4)","D",2016,NA,4,1,279380,130161,NA,NA,"NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70.7,"David Price",NA,NA,NA,NA,-1.00012661075877,29.3
"FOXX (R NC-5)","NC-5","FOXX (R NC-5)","R",2016,NA,5,-1,147887,207625,NA,NA,"NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41,"Virginia Foxx",NA,NA,NA,NA,0.693065274916191,59
"WALKER (R NC-6)","NC-6","WALKER (R NC-6)","R",2016,NA,6,-1,143167,207983,NA,NA,"NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.5,"Mark Walker",NA,NA,NA,NA,1.44873601473936,57.5
"ROUZER (R NC-7)","NC-7","ROUZER (R NC-7)","R",2016,NA,7,-1,135905,211801,NA,NA,"NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.9,"David Rouzer",NA,NA,NA,NA,0.711947739327168,59.1
"HUDSON (R NC-8)","NC-8","HUDSON (R NC-8)","R",2016,NA,8,-1,133182,189863,NA,NA,"NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.3,"Richard Hudson",NA,NA,NA,NA,0.706776888720198,57.7
"PITTENGER (R NC-9)","NC-9","PITTENGER (R NC-9)","R",2016,NA,9,-1,139041,193452,NA,NA,"NC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44,"Robert Pittenger",NA,NA,NA,NA,0.744699780199214,56
"CRAMER (R ND-1)","ND-1","CRAMER (R ND-1)","R",2016,NA,1,-1,80377,233980,NA,NA,"ND",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.2,"Kevin Cramer",NA,NA,NA,NA,0.952088767646184,69.8
"FORTENBERRY (R NE-1)","NE-1","FORTENBERRY (R NE-1)","R",2016,NA,1,-1,83467,189771,NA,NA,"NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.6,"Jeff Fortenberry",NA,NA,NA,NA,1.26011554475711,61.4
"BACON (R NE-2)","NE-2","BACON (R NE-2)","R",2016,NA,2,1,137602,141066,NA,NA,"NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.8,"Don Bacon",NA,NA,NA,NA,1.03172015332486,51.2
"SMITH (R NE-3)","NE-3","SMITH (R NE-3)","R",2016,NA,3,-1,0,226720,NA,NA,"NE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.1,"Adrian Smith",NA,NA,NA,NA,1.61110531562104,78.9
"SHEA-PORTER (D NH-1)","NH-1","SHEA-PORTER (D NH-1)","D",2016,NA,1,-1,161828,157011,NA,NA,"NH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.2,"Carol Shea-Porter",NA,NA,NA,NA,-0.796600332203878,50.8
"KUSTER (D NH-2)","NH-2","KUSTER (D NH-2)","D",2016,NA,2,1,174386,158960,NA,NA,"NH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.3,"Annie Kuster",NA,NA,NA,NA,-0.658126625766985,48.7
"NORCROSS (D NJ-1)","NJ-1","NORCROSS (D NJ-1)","D",2016,NA,1,1,183231,112388,NA,NA,"NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.7,"Donald Norcross",NA,NA,NA,NA,-0.866183599647956,37.3
"PAYNE (D NJ-10)","NJ-10","PAYNE (D NJ-10)","D",2016,NA,10,1,190856,26450,NA,NA,"NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86.9,"Donald Payne Jr.",NA,NA,NA,NA,-1.89224124756313,13.1
"FRELINGHUYS (R NJ-11)","NJ-11","FRELINGHUYS (R NJ-11)","R",2016,NA,11,-1,130162,194299,NA,NA,"NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5,"Rodney Frelinghuysen",NA,NA,NA,NA,0.949359210824663,50.5
"WATSON (D NJ-12)","NJ-12","WATSON (D NJ-12)","D",2016,NA,12,1,181430,92407,NA,NA,"NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,67.1,"Bonnie Watson Coleman",NA,NA,NA,NA,-1.94942723656272,32.9
"LOBIONDO (R NJ-2)","NJ-2","LOBIONDO (R NJ-2)","R",2016,NA,2,-1,110838,176338,NA,NA,"NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.6,"Frank LoBiondo",NA,NA,NA,NA,0.212808581472089,52.4
"MACARTHUR (R NJ-3)","NJ-3","MACARTHUR (R NJ-3)","R",2016,NA,3,-1,127526,194596,NA,NA,"NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46.8,"Tom MacArthur",NA,NA,NA,NA,0.397283124214828,53.2
"SMITH (R NJ-4)","NJ-4","SMITH (R NJ-4)","R",2016,NA,4,-1,111532,211992,NA,NA,"NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.4,"Chris Smith",NA,NA,NA,NA,0.242170108626268,57.6
"GOTTHEIMER (D NJ-5)","NJ-5","GOTTHEIMER (D NJ-5)","D",2016,NA,5,1,172587,157690,NA,NA,"NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.4,"Josh Gottheimer",NA,NA,NA,NA,-0.396133581894468,50.6
"PALLONE (D NJ-6)","NJ-6","PALLONE (D NJ-6)","D",2016,NA,6,1,167895,91908,NA,NA,"NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.1,"Frank Pallone",NA,NA,NA,NA,-1.64287469169454,41.9
"LANCE (R NJ-7)","NJ-7","LANCE (R NJ-7)","R",2016,NA,7,-1,148188,185850,NA,NA,"NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50.6,"Leonard Lance",NA,NA,NA,NA,0.353802738542162,49.4
"SIRES (D NJ-8)","NJ-8","SIRES (D NJ-8)","D",2016,NA,8,1,134733,32337,NA,NA,"NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77.9,"Albio Sires",NA,NA,NA,NA,-0.857233817695219,22.1
"PASCRELL (D NJ-9)","NJ-9","PASCRELL (D NJ-9)","D",2016,NA,9,1,162642,65376,NA,NA,"NJ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66,"Bill Pascrell",NA,NA,NA,NA,-0.771520406281626,34
"LUJAN (D NM-1)","NM-1","LUJAN (D NM-1)","D",2016,NA,1,1,181088,96879,NA,NA,"NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59.5,"Michelle Lujan Grisham",NA,NA,NA,NA,-0.83254399849212,40.5
"PEARCE (R NM-2)","NM-2","PEARCE (R NM-2)","R",2016,NA,2,-1,85232,143514,NA,NA,"NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.3,"Steve Pearce",NA,NA,NA,NA,0.967012608532708,55.7
"LUJAN (D NM-3)","NM-3","LUJAN (D NM-3)","D",2016,NA,3,1,170612,102730,NA,NA,"NM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.5,"Ben R. Lujan",NA,NA,NA,NA,-1.01934930915997,41.5
"TITUS (D NV-1)","NV-1","TITUS (D NV-1)","D",2016,NA,1,1,116537,54174,NA,NA,"NV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65.4,"Dina Titus",NA,NA,NA,NA,-0.951938575164091,34.6
"AMODEI (R NV-2)","NV-2","AMODEI (R NV-2)","R",2016,NA,2,-1,115722,182676,NA,NA,"NV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.3,"Mark Amodei",NA,NA,NA,NA,0.674050782596029,56.7
"ROSEN (D NV-3)","NV-3","ROSEN (D NV-3)","D",2016,NA,3,0,146869,142926,NA,NA,"NV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.5,"Jacky Rosen",NA,NA,NA,NA,-0.53423331166694,50.5
"KIHUEN (D NV-4)","NV-4","KIHUEN (D NV-4)","D",2016,NA,4,-1,128985,118328,NA,NA,"NV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.6,"Ruben Kihuen",NA,NA,NA,NA,-0.836164302192634,47.4
"ZELDIN (R NY-1)","NY-1","ZELDIN (R NY-1)","R",2016,NA,1,-1,121982,175168,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43.6,"Lee Zeldin",NA,NA,NA,NA,0.580309881832903,56.4
"NADLER (D NY-10)","NY-10","NADLER (D NY-10)","D",2016,NA,10,1,192122,53806,NA,NA,"NY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,80.6,"Jerrold Nadler",NA,NA,NA,NA,-1.52424453324305,19.4
